scenario,jour,bloc_30min,power_W,Wh_bloc
Foyer_Modeste,3,1,130.14551198387701,65.07275599193851
Foyer_Modeste,3,2,144.60612442653002,72.30306221326501
Foyer_Modeste,3,3,57.843049770612005,28.921524885306003
Foyer_Modeste,3,4,0.001,0.0005
Foyer_Modeste,3,5,0.001,0.0005
Foyer_Modeste,3,6,0.001,0.0005
Foyer_Modeste,3,7,19.53583990450521,9.767919952252605
Foyer_Modeste,3,8,103.84757837249252,51.92378918624626
Foyer_Modeste,3,9,158.0855096274762,79.0427548137381
Foyer_Modeste,3,10,158.0855096274762,79.0427548137381
Foyer_Modeste,3,11,158.0855096274762,79.0427548137381
Foyer_Modeste,3,12,158.0855096274762,79.0427548137381
Foyer_Modeste,3,13,158.0855096274762,79.0427548137381
Foyer_Modeste,3,14,158.0855096274762,79.0427548137381
Foyer_Modeste,3,15,158.0855096274762,79.0427548137381
Foyer_Modeste,3,16,73.77377115948889,36.886885579744444
Foyer_Modeste,3,17,0.001,0.0005
Foyer_Modeste,3,18,0.001,0.0005
Foyer_Modeste,3,19,0.001,0.0005
Foyer_Modeste,3,20,5.299818325596076,2.649909162798038
Foyer_Modeste,3,21,158.96554976788227,79.48277488394113
Foyer_Modeste,3,22,158.96554976788227,79.48277488394113
Foyer_Modeste,3,23,158.96554976788227,79.48277488394113
Foyer_Modeste,3,24,158.96554976788227,79.48277488394113
Foyer_Modeste,3,25,158.96554976788227,79.48277488394113
Foyer_Modeste,3,26,192.65979286215295,96.32989643107648
Foyer_Modeste,3,27,159.12244469153632,79.56122234576816
Foyer_Modeste,3,28,47.847259854018745,23.923629927009372
Foyer_Modeste,3,29,48.74579800484597,24.372899002422987
Foyer_Modeste,3,30,50.84934589269893,25.424672946349464
Foyer_Modeste,3,31,51.62669959285415,25.813349796427076
Foyer_Modeste,3,32,108.38341448320867,54.191707241604334
Foyer_Modeste,3,33,193.51848681874043,96.75924340937021
Foyer_Modeste,3,34,103.23988823723718,51.61994411861859
Foyer_Modeste,3,35,53.644744210171936,26.822372105085968
Foyer_Modeste,3,36,100.30238442885671,50.151192214428356
Foyer_Modeste,3,37,139.32541506116678,69.66270753058339
Foyer_Modeste,3,38,108.9565972406135,54.47829862030675
Foyer_Modeste,3,39,108.9565972406135,54.47829862030675
Foyer_Modeste,3,40,108.9565972406135,54.47829862030675
Foyer_Modeste,3,41,140.77851878757699,70.38925939378849
Foyer_Modeste,3,42,71.09023285010281,35.545116425051404
Foyer_Modeste,3,43,92.71379701883144,46.35689850941572
Foyer_Modeste,3,44,110.84502415763625,55.42251207881812
Foyer_Modeste,3,45,44.763372167925674,22.381686083962837
Foyer_Modeste,3,46,0.0,0.0
Foyer_Modeste,3,47,0.0,0.0
Foyer_Modeste,4,0,0.0,0.0
Foyer_Modeste,4,1,0.0,0.0
Foyer_Modeste,4,2,0.0009666666666666667,0.00048333333333333334
Foyer_Modeste,4,3,4.630651973191837,2.3153259865959184
Foyer_Modeste,4,4,138.89055919575512,69.44527959787756
Foyer_Modeste,4,5,138.89055919575512,69.44527959787756
Foyer_Modeste,4,6,138.89055919575512,69.44527959787756
Foyer_Modeste,4,7,138.89055919575512,69.44527959787756
Foyer_Modeste,4,8,111.1126473566041,55.55632367830205
Foyer_Modeste,4,9,0.001,0.0005
Foyer_Modeste,4,10,0.001,0.0005
Foyer_Modeste,4,11,0.001,0.0005
Foyer_Modeste,4,12,0.001,0.0005
Foyer_Modeste,4,13,0.001,0.0005
Foyer_Modeste,4,14,0.001,0.0005
Foyer_Modeste,4,15,0.001,0.0005
